username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
EUinPL;2016-05-11 17:09;1;2;"Jak zmieni się stopa bezrobocia wg. wiosennej prognozy gospodarczej #KE - #ecforecast ? Sprawdź! #Bezrobocie #UE #PL https:// twitter.com/ecfin/status/7 30381976436346880 …";;;#KE #ecforecast #Bezrobocie #UE #PL;"730414644939132929";https://twitter.com/EUinPL/status/730414644939132929
WarszawaNM;2016-05-10 11:57;0;1;"Im najtrudniej znaleźć pracę w Warszawie: http:// warszawa.naszemiasto.pl/artykul/bezrob ocie-w-warszawie-zobacz-komu-najtrudniej-znalezc,3731550,artgal,t,id,tm.html … #bezrobocie #praca #Warszawa";;;#bezrobocie #praca #Warszawa;"729973726763192320";https://twitter.com/WarszawaNM/status/729973726763192320
Macronextcom;2016-05-10 07:48;0;0;"#Szwajcaria : w IV 2016 stopa bezrobocia s.a. 3,5% (prognoza: 3,5%; poprzednio: 3,5%) http://www. macronext.com/pl/dane-makro/ d/2016-05-10/c/26 … #bezrobocie #chf";;;#Szwajcaria #bezrobocie #chf;"729911073999065088";https://twitter.com/Macronextcom/status/729911073999065088
wwwwarszawapl;2016-05-10 07:05;2;1;"Bezrobocie w Warszawie (I kw.) #Bezrobocie #Warszawa #Praca #PracaWStolicy #PracawWarszawie http://www. warszawa.pl/biznes/bezrobo tni-w-dzielnicach-warszawy-w-i-kwartale-2016-r/ … pic.twitter.com/hCe6V6mmYH";;;#Bezrobocie #Warszawa #Praca #PracaWStolicy #PracawWarszawie;"729900139591143424";https://twitter.com/wwwwarszawapl/status/729900139591143424
Macronextcom;2016-05-09 09:01;1;0;"#Czechy : w III 2016 stopa bezrobocia 5,7% (prognoza: 5,7%; poprzednio: 6,1%) http://www. macronext.com/pl/dane-makro/ d/2016-5-9/c/21 … #bezrobocie";;;#Czechy #bezrobocie;"729567048829947904";https://twitter.com/Macronextcom/status/729567048829947904
Macronextcom;2016-05-06 14:31;0;0;"#Kanada : w IV 2016 stopa bezrobocia 7,1% (prognoza: 7,2%; poprzednio: 7,1%) http://www. macronext.com/pl/dane-makro/ d/2016-05-06/c/33 … #bezrobocie";;;#Kanada #bezrobocie;"728562823303933955";https://twitter.com/Macronextcom/status/728562823303933955
Macronextcom;2016-05-06 14:30;1;0;"#USA : rynek pracy w IV 2016: #bezrobocie 5% (prog. 5%; pop. 5%) #NFP +160 tys. (prog. +200 tys.; pop. +208 tys.) http://www. macronext.com/pl/dane-makro/ d/2016-05-06/c/5 …";;;#USA #bezrobocie #NFP;"728562570051883008";https://twitter.com/Macronextcom/status/728562570051883008
RadioMaryja;2016-05-05 18:14;0;1;"#Bezrobocie długotrwałe problemem Polaków http:// bit.ly/1TptOyc pic.twitter.com/eql47XKqeS";;;#Bezrobocie;"728256629372796930";https://twitter.com/RadioMaryja/status/728256629372796930
zielonalinia;2016-05-05 11:58;0;0;"Czy to już koniec problemów Europy z bezrobociem? http:// bit.ly/24tmAVi #Bezrobocie #Praca #Europa #RynekPracy";;;#Bezrobocie #Praca #Europa #RynekPracy;"728162064703881216";https://twitter.com/zielonalinia/status/728162064703881216
AgropolskaPL;2016-05-05 11:19;0;0;"Problem bezrobocia dotyczy co piątego gospodarstwa domowego http://www. agropolska.pl/aktualnosci/po lska/problem-bezrobocia-dotyczy-co-piatego-gospodarstwa-domowego,2179.html … #bezrobocie #praca #etat pic.twitter.com/hgQwUvBdFu";;;#bezrobocie #praca #etat;"728152212388515840";https://twitter.com/AgropolskaPL/status/728152212388515840
